"Company","Country","Month","Year","Classification","Keywords","Website","Funding Amount","Funding Type","Investors"
"IcanoMAB GmbH","Germany","Sep","2020","Early Stage Biotech","Mab, Oncology, Immune-Modulation, Acute Inflammation, COVID-19, Acute Respiratory Distress Syndrome (ARDS) and Cytokine Release Syndrome (CRS)","https://icanomab.com/","Unknown","Seed","NA"
"Nanospectra Biosciences","USA","Sep","2020","Medical Devices","ultra-focal ablation therapy, AuroLase®, prostate cancer","https://nanospectra.com/  ","$3 Million","Series B-1","Sirtex Medical "
"Manifold Bio","USA","Sep","2020","BioSystems","protein barcoding platform, protein designs","https://manifold.bio/","$5.4 Million","Seed","Playground Global, pre-seed lead Fifty Years and early investors GETTYLAB and Allston Venture Fund"
"CoreMap Medical","USA","Sep","2020","Medical Devices","Atrial Fibrillation (AF),  diagnostic technology for drivers of AF","https://coremapmedical.com/","$10.5 Million","Series A","Qure Ventures,Fifth Focus/HRMG Investment, Orbimed Venture Partners"
"VECT-HORUS","France","Sep","2020","BioSystems","VECTrans® Platform, vector design, targeted delivery, diagnosis of glioblastoma, spin-off of the Institute for Neurophysiopathology (INP, UMR7051, CNRS and Aix Marseille University)","https://www.vect-horus.com/","€6.7 Million","Series B","NA"
"ACT Genomics","Taiwan","Sep","2020","Bioinformatics","DNA sequencing, cancer diagnosis, cancer risk assessment and immunotherapy evaluation","http://www.actgenomics.com/","NA","Series A","Aflac Ventures LLC and Kyoto University Innovation Capital. CLSA Capital Partners' managed private equity funds, OEP, Hotung Venture Capital, UMC Capital, CDIB Capital, JAFCO Asia, HKSTP Ventures and UOB Venture Management Pte Ltd."
"MiNA Therapeutics","USA","Sep","2020","Early Stage Biotech","RNA activation therapeutics, MTL-CEBPA, SaRNA platform, Cancer, Oncology","https://minatx.com/","£23 million ($30 million)","Series A","aMoon"
"Oncomfort","Belgium","Sep","2020","Digital Health","Digital Sedation, Sedakit, therapeutic Virtual Reality, digital therapy","https://www.oncomfort.com/en","€10 Million","Series A","Debiopharm and Crédit Mutuel Innovation"
"Casma Therapeutics","USA","Sep","2020","Early Stage Biotech","muscular dystrophy, autophagy degrader platform, TRPML1 agonist. Liver disorders, inflammatory, neurdegeneration","https://www.casmatx.com/","$50 Million","Series B","The Column Group (TCG), adds new investors Eventide Asset Management, LLC and Schroder Adveq"
"Arna Genomics","USA","Sep","2020","Medical Diagnostics","Arna Breast diagnostic test. Liquid biopsy","https://arna.bio/","$3.5 Million","Series A","Xploration Capital"
"Catalog","USA","Sep","2020","Bioinformatics","Shannon DNA writing and data storage platform","https://www.catalogdna.com/","$10 Million","Series A","Horizons Ventures"
"iotaMotion","USA","Sep","2020","Medical Devices","iotaSOFT™ robotic surgical system, cochlear implantation","https://iotamotion.com/","$1.65 Million","Grant Funding","NIH"
"OncoImmune","USA","Sep","2020","Early Stage Biotech","oncology, inflamation, GVHD, CD24Fc , Onc-392, echinomycin, ONC-781 Bispecific and ONC-781 CAR-T","http://www.oncoimmune.com/","$56 Million","Series B","HM Capital,3E Bioventures Capital and Kaitai Capital, in addition to new investors GBA Fund and GF Xinde"
"Korro Bio","USA","Sep","2020","Early Stage Biotech","RNA Therapeutics, RNA editing, OPERA platform","https://www.korrobio.com/","$91.5 Million","Series A","Wu Capital with participation from current investors, Atlas Venture and New Enterprise Associates. Additional new investors include Qiming Venture Partners USA, Surveyor Capital (a Citadel company), Cormorant Asset Management, MP Healthcare Venture Management and Alexandria Venture Investments"
"BitBiome","Japan","Sep","2020","BioSystems","Microbiome,  single-cell bacterial sequencing services. Microfluidics","https://www.bitbiome.co.jp/en/","¥700 million ($6.6 million) ","Series B","University of Tokyo Edge Capital Partners"
"Attralus","USA","Sep","2020","Early Stage Biotech","ATTR (transthyretin),  systemic amyloidosis","https://www.attralus.com/ ","$25 Million","Series A","venBio Partners"
"Umoja Biopharma","USA","Sep","2020","Early Stage Biotech","cancer, oncology. cellular immunotherapy platform, in vivo delivery, RACR/CAR synthetic receptor payload and TumorTag targeting technologies","https://www.umoja-biopharma.com/ ","$53 Million","Series A","MPM Capital and Qiming Venture Partners USA"
"Pharvaris","USA","Sep","2020","Early Stage Biotech"," oral bradykinin-B2-receptor antagonists, hereditary angioedema (HAE) ,  edema (swelling)","https://pharvaris.com/","$80 Million","Series C","Viking Global Investors and General Atlantic co-led the financing, with participation by Cormorant Asset Management. Current investors Foresite Capital, Bain Capital Life Sciences, venBio Partners, and Venrock Healthcare Capital Partners"
"COTA Inc.","USA","Sep","2020","Healthcare Analytics","cancer, longitudinal real world data, EHR, EMR, oncology"," https://cotahealthcare.com/","$10 Million","Grant Funding","Varian Medical Systems"
"Elpis Biopharmaceuticals","USA","Sep","2020","Early Stage Biotech"," solid tumor and hematological disease therapeutics.  mRNADis™ antibody discovery and mSCAFold™ rational protein engineering platforms, immuno-oncology product candidates EPIM-001, a bispecific and engineered dual functional IL-2Rβ agonist with minimal IL-2Rα activation to treat solid tumor indications, and EPC-001, a CD19/CD22 dual targeting CAR-T to treat B Cell malignancies ","https://elpisbiopharmaceuticals.com/","$30 Million","Series A","NA"
"ARIZ Precision Medicine","USA","Sep","2020","Early Stage Biotech","Oncogene Targeting Platform, PRDM gene and protein family, hematological and solid tumors, oncology, cancer","https://arizbio.com/","$685,000 ","Seed","Moneta Ventures"
"Replica Analytics","USA","Sep","2020","Healthcare Analytics"," Replica Synthesis, privacy-protected synthetic data, Data Synthesis Innovations","https://replica-analytics.com/home","$1 Million","Pre-Seed","FACIT,MITACS"
"Recursion Pharma","USA","Sep","2020","Healthcare Analytics","drug discovery platform, AI, digital biology","https://www.recursionpharma.com/","$239 Million","Series D","Leaps By Bayer, Casdin Capital, Catalio Capital Management, Laurion Capital Management, Samsara BioCapital"
"MicroGem","USA","Sep","2020","Medical Diagnostics","COVID-19 saliva test,  SARS-CoV-2,  influenza A and B, RT-PCR","https://microgembio.com/our-company/","$40.9 Million","Grant Funding","NIH"
"Ceres Nanosciences","USA","Sep","2020","Medical Diagnostics","COVID-19, Nanotrap Virus Particles, respiratory syncytial tests","https://www.ceresnano.com/about","$6.9 Million","Grant Funding","NIH"
"Aegis Sciences","USA","Sep","2020","Medical Diagnostics","COVID-19, RT-PCR SARS-CoV-2 test, multiplexed SARS-CoV-2, influenza A and B test","https://www.aegislabs.com/","$6.6 Million","Grant Funding","NIH"
"Immune Regulation","UK","Sep","2020","Early Stage Biotech","autoimmune and allergic diseases","https://immuneregulation.com/","$53.4 Million","Series B","Morningside Ventures, 24Haymarket"
"GeneWerk GmbH","Germany","Sep","2020","Genomics/Gene Therapy","gene therapy testing, vector integration site analysis (ISA) services","https://www.genewerk.com/en/","NA","Series A","Ampersand Capital Partners"
"BioProtect","Israel","Sep","2020","Early Stage Biotech","Prostate cancer, ProSpace™ balloon spacer, bioabsorbable polymer spacer balloon platform","https://bioprotect.com/","$25 Million","Series D","Peregrine Ventures, Almeda Ventures, KB Investments of South Korea and Triventures"
"Novellus","Israel","Sep","2020","Early Stage Biotech","oncology, oncogene drivers, mutations, PLX-8394,  BRAF fusions ,glioma","https://novellus.bio/","$57 Million","Series C","Pontifax, OrbiMed Advisors, HBM Healthcare Investments, Wellington Management, Cormorant Asset Management, Novartis Venture Fund (NVF), SR One"
"NeuroTherapia, Inc.","USA","Sep","2020","Early Stage Biotech","neurodegenerative diseases, NTRX-07,  neuroinflammation","https://www.neurotherapia.com/","$8.8 Million","Series A","Brain Trust Accelerator Fund II, The Cleveland Clinic Foundation, Dolby Family Ventures and Alzheimer's Drug Discovery Foundation"
"PEDRA™ Technology, Inc.","Singapore","Sep","2020","Medical Devices","limb saving, deep-tissue perfusion monitors.  peripheral arterial disease (PAD) and critical limb ischemia (CLI), detection of compromised tissue perfusion in diabetic feet","https://www.pedratech.com/","$4.7 Million","Series A","SEEDS Capital, the investment arm of Enterprise Singapore,  M&L Healthcare Investments"
"Medasense","Israel","Sep","2020","Medical Devices","NOL technology, pain-response monitoring,  unique multi-parametric sensor platform and advanced AI algorithms , COVID-19, ventilation","https://medasense.com/","$18 Million","Series C","Sabadell Asabys venture capital firm (Asabys Partners, Spain),  Baxter Ventures, Olive Tree Ventures and LGL Capital"
"Siolta Therapeutics","USA","Sep","2020","Early Stage Biotech","Allergic Diseases, live biotherapeutic product (LBP) platform, microbiome-based medicines and diagnostics","https://www.sioltatherapeutics.com/","$30 Million","Series B"," Khosla Ventures and Marc Benioff as well as new investors Seventure (Health for Life Capital Fund), SymBiosis, and Global Brain (Kirin Health Innovation Fund/GB-VII)"
"NotCo","Chile","Sep","2020","Agri-Biotech","plant biotech, plant-based alternatives, NotMilk, NotBurger, NotIceCream and NotMayo","https://notco.com/us/","$85 Million","Series C","Future Positive, L Catterton, Kaszek Ventures, The Craftory, Bezos Expedition, General Catalyst, Endeavor Catalyst, Indie Bio, Humbolt Capital, and Maya Capital"
"Hexagon Bio","USA","Sep","2020","Early Stage Biotech","discovery platform,  secondary metabolites,  fungal genomes, synthetic biology platform called Hex, proprietary genomics database of new secondary metabolites, drug discovery","https://www.hexagonbio.com/","$47 Million","Series A","The Column Group and included 8VC and Two Sigma Ventures"
"Orasis Pharmaceuticals","Israel","Sep","2020","Early Stage Biotech","presbyopia, CSF-1, near vision, corrective eye drop","https://www.orasis-pharma.com/","$30 Million","Series C","Bluestem Capital , Visionary Ventures,  Sequoia Capital, SBI (Japan) Innovation Fund, Maverick Ventures Israel, LifeSci Venture Partners"
"Spine Align","USA","Sep","2020","Medical Devices","spinal alignment, LiveAlign, Spine Align platform, spine surgery","https://www.spinealignsurgical.com/","$1.75 Million","Seed","Rockies Venture Club, with additional support by members of the Berkeley Angel Network, NO/LA Angel Network, Pasadena Angels, Bellingham Angels, the Abell Foundation, and VentureWell"
"ESCAPE Bio","USA","Sep","2020","Early Stage Biotech","Precision Neurology Medicines, Genetic Neurodegeneration, ESB1609, mutant-selective LRRK2 G2019S kinase inhibitor, Parkinson’s Disease (PD)","https://www.escapebio.com/","$73 Million","Series D","Wellington Management Company LLP. Additional new  Avidity Partners, CAM Capital, New Leaf Ventures, Rock Springs Capital, Surveyor Capital (a Citadel company) and Sphera Funds Management,  OrbiMed, Novo Holdings, Johnson & Johnson Innovation, Novartis Venture Fund, Osage University Partners and Sutter Hill Venture"
"Neogene Therapeutics","USA","Sep","2020","Early Stage Biotech","Oncology, cancer, neo-antigen T cell therapies","https://www.neogene.com/","$110 Million","Series A","EcoR1 Capital, Jeito Capital and Syncona, with participation from Polaris Partners and Pontifax. Seed investors Vida Ventures, TPG and Two River"
"Attralus","USA","Sep","2020","Rare Disease","Rare Disease, Systemic Amyloidosis,  pan-amyloid imaging agent, AT-01, AT-02, AT-03, ATTR (transthyretin), AL (light chain) and potentially ALECT2 systemic amyloidosis","https://www.attralus.com/","$25 Million","Series A","venBio Partners"
"Escient Pharmaceuticals","USA","Sep","2020","Early Stage Biotech","Mast cell therapies, Cholestatic and Uremic Pruritus, EP547, a MRGPR-targeted Therapy","https://www.escientpharma.com/","$77.5 Million","Series B","Sanofi Ventures and Cowen Healthcare Investments ,Redmile Group and Perceptive Advisors"
"Rejoni, Inc.","USA","Sep","2020","Medical Devices","gynecological surgical procedures, biomaterials","http://www.rejoni.com/","$15 Million","Series A","Ascension Ventures, Delos Capital and Sparta Group."
"Quadrant Biosciences","USA","Sep","2020","Medical Diagnostics","microRNA diagnostic test, Saliva test,concussions","https://www.quadrantbiosciences.com/","$2.3 Million","Grant Funding","NIH"
"Antelope Dx","Belgium","Sep","2020","Medical Diagnostics","COVID-19, urine-based self-test, Chlamydia trachomatis and Neisseria gonorrhoeae, respiratory test for influenza A/B and SARS-CoV-2, Protein biomarkers","https://www.antelope-dx.com/","€9 Million","Series B","Whitefund, Noshaq Investment Manager"
"Oligomerix","USA","Sep","2020","Early Stage Biotech","Alzheimer's Disease,  neurodegenerative disorders","http://oligomerix.com/","$3.19 Million","Grant Funding","NIH"
"Ansa Biotechnologies","USA","Sep","2020","Early Stage Biotech"," DNA synthesis technology, synthetic biology","https://ansabio.com/","$7.9 Million","Seed","Horizons Ventures, with participation from Mubadala Capital, Humboldt Fund, Fifty Years"
"Synthekine","USA","Sep","2020","Early Stage Biotech","Cytokine therapies, cancer and autoimmune disease, Interleukin-2","https://www.synthekine.com/","$82 Million","Series A","Canaan Partners, Samsara BioCapital and The Column Group"
"Finch Therapeutics","USA","Sep","2020","Early Stage Biotech","C. Difficile Infection, CP101, autism spectrum disorder (ASD),  chronic hepatitis B (HBV)","https://finchtherapeutics.com/","$90 Million","Series D","Baupost Group, Humboldt Fund, MSD Capital, MSD Partners, Octave Group, and OMX Ventures. Existing investors included Avenir Growth Capital, OCV Partners, Shumway Capital, SIG, SymBiosis, TPTF, and Willett Advisors"
"RapidAI","USA","Sep","2020","Healthcare Analytics","Cerebrovascular Imaging, stroke, AI, Rapid® platform ","https://www.rapidai.com/","$25 Million","Series B","Lennertz & Co"
"XWPharma","USA","Sep","2020","Early Stage Biotech","Neurobiology, XW10172, a GABAB receptor agonist, sleep disorders in narcolepsy, Parkinson’s disease, XW10508, a glutamatergic NMDA antagonist and AMPA activator,, depressive disorder, chronic pain","https://www.xwpharma.com/","$40 Million","Series C","Panacea Venture, Johnson & Johnson Innovation – JJDC, Inc., WI Harper Group, WuXi AppTec’s Corporate Venture Fund and KTB Network, and new investors, CDIB Yida Healthcare Fund, Hontai Capital and Trinity Fund."
"Lava Therapeutics","USA","Sep","2020","Early Stage Biotech","oncology, cancer, bispecific gamma delta T-cell engagers, solid tumors, henatlogic malignancies","https://lavatherapeutics.com/","$83 Million","Series C","Novo Ventures and Sanofi Ventures, Redmile Group, Ysios Capital and BB Pureos Bioventures. Current investors Versant, Gilde Healthcare and MRL Ventures Fund"
"ImmVira","China","Sep","2020","Early Stage Biotech","oncology, cancer, solid tumors, MVR-T3011, intratumoral oncolytic virus program","https://www.immvira-theravir.com/","$10 Million","Series B","Shanghai Healthcare Capital "
"Rediscovery Life Sciences","USA","Sep","2020","Early Stage Biotech","acute kidney injury, drug repurposing, suramin","https://www.rediscoveryls.com/","$4.5 Million","Series B","REX Health Ventures (the investment arm of UNC
REX Healthcare) and Orlando Health Ventures"
"Libra Therapeutics","USA","Sep","2020","Early Stage Biotech","neuro degenrative diseases, amyotrophic lateral sclerosis (ALS) and frontotemporal dementia (FTD)","https://www.libratherapeutics.com/","$29 Million","Series A","Boehringer Ingelheim Venture Fund (BIVF), Epidarex Capital, and Santé. The round was joined by Yonjin Venture, Dolby Family Ventures, and Sixty Degree Capital."
"EBAMed","Switzerland","Sep","2020","Medical Devices","Heart Arrhythmias, cardiac motion management, monitor heart movements","https://eba-med.com/","€2.4 Million","Grant Funding","Enhanced European Innovation Council (EIC)"
"Immetas Therapeutics","USA","Sep","2020","Early Stage Biotech"," cancer and inflammatory disease, cancer, oncology, aging, inflammation","https://immetas.com/","$11 Million","Series A","Morningside Ventures"
"Ardigen","Poland","Sep","2020","Healthcare Analytics","AI, precision medicine, TCR therapy platform, immuno-oncology, cancer, oncology,  neoantigen prediction platform","https://ardigen.com/","$5.4 Million","Grant Funding","Undisclosed"
"Silverback Therapeutics","USA","Sep","2020","Early Stage Biotech","oncology, cancer, SBT6050, a TLR8 agonist,  HER2-directed antibody","https://silverbacktx.com/","$85 Million","Series C","EcoR1 Capital led the round, with participation from new investors including Boxer Capital of Tavistock Group, Fidelity Management & Research Company LLC, Nantahala Capital Management, and RA Capital. OrbiMed Advisors, U.S. Venture Partners, Nextech Invest Ltd., Hunt Technology Ventures, and Pontifax Venture Capital"
"Babson Diagnostics","USA","Sep","2020","Medical Diagnostics","lab-quality blood samples, blood diagnostics","https://www.babsondx.com/","$13.7 Million","Series A","Prism Ventures and other investors. The round’s final total was backed by additions from Siemens, plus Genesis Merchant Capital and Lago Consulting Group."
"XtalPi","USA","Sep","2020","Healthcare Analytics","drug molecule designer, AI platform","https://www.xtalpi.com/en/","$319 Million","Series A","SoftBank’s Vision Fund 2, PICC Capital and Morningside Venture Capital, alongside follow-on investments from the company’s previous backers Tencent, Sequoia China, China Life and SIG"
"Palladio Bio","USA","Sep","2020","Rare Disease","orphan diseases of the kidney","https://palladiobio.com/","$20 Million","Series B","Samsara BioCapital, with participation from new investor, the Roche Venture Fund and existing investors, Medicxi and Osage University Partners"
"LB Pharmaceuticals Inc","USA","Sep","2020","Early Stage Biotech","schizophrenia, CNS, neurology, B-102, or N-methyl amisulpride, benzamide","http://lbpharma.us/","$10 Million","Series B","Undisclosed"
"InventisBio","China","Sep","2020","Early Stage Biotech","oncology, cancer, oral selective estrogen receptor degrader (SERD), ER-positive, HER2 negative breast cancer. D-0502","http://www.inventisbio.com/en/index.html","$147 Million","Series D","Hillhouse affiliate GL Ventures, brought back existing shareholders – Lilly Asia Venture, ObiMed Asia, Pudong Innotek, AdvanTech Capital and CMB International – and introduced new ones, including Qiming Venture Partners, Janchor, AIHC Capital, Matrix Partner China, Dyee Captial and E Fund Capital"
"IonPath","USA","Sep","2020","Medical Imaging","Spatial proteomics, Multiplexed Ion Beam Imaging (MIBI) technology","https://www.ionpath.com/","$18 Million","Series B","Samsara BioCapital, Bruker, Genoa Ventures, ND Capital, Paladin Partners Investments, Trancos Ionpath Investors, Norwich Ventures, and Vertical Venture Partners Growth Fund"
"Koneksa","USA","Sep","2020","Digital Health","digital biomarkers, digital health, wearables, clinical trials","https://www.koneksahealth.com/","$16 Million","Series B","Spring Mountain Capital and joined by investments from McKesson Ventures, Novartis Pharma AG, and MBX Capital"
"Galecto","Denmark","Sep","2020","Early Stage Biotech","cancer, fibrosis, idiopathic pulmonary fibrosis (IPF), GB0139, oral galectin-3 inhibitor, GB1211, in liver scarring linked to non-alcoholic steatohepatitis (NASH), and GB2064, an oral LOLX2 inhibitor","https://galecto.com/","$64 Million","Series B"," Soleus Capital and co-led by Eir Ventures. Several new investors joined the round: Cormorant Asset Management, Janus Henderson Investors, Hadean Ventures, Sphera, Asymmetry Capital Management, Canica, as well as current investors. These include OrbiMed, Ysios Capital, Novo Holdings, HBM Healthcare Investments, Sunstone Capital, Bristol Myers Squibb, Seventure and Maverick Ventures"
"lias Biologics","South Korea","Sep","2020","Early Stage Biotech","exosome, inflammatory disease,  EXPLOR (exosome engineering for protein loading via optically reversible protein-protein interaction)","http://www.iliasbio.com/","$20.6 Million","Series B","HB Investment, Timefolio Asset Management, and Daedeok Venture Partners joined this round with follow-on investment. The new institutional investors, including Asset One, Devsisters Ventures, Meritz Securities, Kiwoom Securities, Daishin Securities, Hanyang Securities/Yeolim Partners, and Genie Asset Management "
"BioShin","China","Sep","2020","Early Stage Biotech","neuroscience","https://www.bioshin.com/en","$60 Million","Series A","OrbiMed, with participation from Cormorant Asset Management LLC, HBM Healthcare Investments Ltd, Surveyor Capital (a Citadel Company), and Suvretta Capital Management, LLC"
"Aclipse Therapeutics","Australia","Sep","2020","Early Stage Biotech","Amyotrophic Lateral Sclerosis (ALS), motor neuron disease (MND) or Lou Gehrig's disease","https://www.aclipsetherapeutics.com/","AUD 1 Million (US$720k)","Grant Funding","FightMND"
"Cognoptix","USA","Sep","2020","Medical Diagnostics","Sapphire II System, Alzheimers Disease, CAN, Neurology, amyloid aggregates","https://cognoptix.com/","$2.6 Million","Series R","Launchpad Venture Group, Harvard Business School Alumni Angels of New York (HBSAANY), and the New York Angels (NYA), including the NYA 2020 Sidecar Fund"
"Imvaq Therapeutics","USA","Sep","2020","Early Stage Biotech","oncology, cancer, cancer immunotherapy, solid tumors including skin cancers, sarcoma, TNBC, Modified Vaccinia Ankara (MVA), Vaccinia Immunotherapy Platform (VIP)","http://imvaq.com/","$15 Million","Series B","Hanne Capital,"
"Cardiac Dimensions","USA","Sep","2020","Medical Devices","Carillon Mitral Contour System,  functional mitral regurgitation (FMR), transcatheter mitral valve repair, heart failure","https://cardiacdimensions.com/","$17.5 Million","Series C","Aperture Venture Partners, Arboretum Ventures, Hostplus, Life Sciences Partners, Lumira Ventures, and M. H. Carnegie & Co"
"Monte Rosa Therapeutics","USA","Sep","2020","Early Stage Biotech","oncology, cancer, molecular glue, drug discovery platform","https://www.monterosatx.com/","$96 Million","Series B","Aisling Capital, New Enterprise Associates, GV and founding investor Versant Ventures"
"Invetx","USA","Sep","2020","Early Stage Biotech","veterinary medicine, G-protein-coupled receptors (GPCRs)","https://www.invetx.com/","$25.5 Million","Series A","Anterra Capital, Casdin Capital, funds managed by Tekla Capital Management, LLC"
"Prenetics","HongKong","Sep","2020","Medical Diagnostics","COVID-19, diagnostics, genetics testing, Project Screen by Circle, SARS-CoV-2 nucleic acid test","https://prenetics.com/","$15 Million","Series B","Apis Partners, Alibaba"
"Alivio Therapeutics ","USA","Oct","2020","Early Stage Biotech","inflammatory bowel disease (IBD), ALV-304","http://www.aliviotherapeutics.com/","$3.3 Million","Grant Funding","Department of Defense (DOD)"
"HDT Bio","USA","Oct","2020","Early Stage Biotech","COVID-19, HDT-301 vaccine, oncology and infectious disease","https://www.hdt.bio/","$3 Million","Seed","Zoic Capital"
"Angel Pharmaceuticals","China","Oct","2020","Early Stage Biotech","oncology, cancer, autoimmune diseases and infectious diseases","","$40 Million","Series A","Tigermed and Betta Pharmaceuticals, Hisun Pharmaceuticals and Zhejiang Puissance Capital"
"OnLume Surgical","USA","Oct","2020","Medical Devices","Fluorescence-Guided Surgery Device","http://www.onlume.com/","$2 Million","Grant Funding","National Cancer Institute (NCI)"
"Lucid Scientific","USA","Oct","2020","BioSystems","RESIPHER, standard cell culture plates, cellular metabolism","https://lucidsci.com/","$3 Million","Seed","Dynamk Capital, Georgia Research Alliance's Venture Fund"
"Dyad Medical","USA","Oct","2020","Medical Imaging","cardiac imaging, AI, cloud platform","https://dyadmed.com/","$3.5 Million","Seed","Unofficial Syndicate, with participation by Social Starts L.P., NIH"
"Tissium","France","Oct","2020","BioSystems","biomorphic programmable polymers, tissue reconstruction","https://tissium.com/","€7 Million","Loan Funding","BNP Paribas, CM-CIC and bpifrance"
"Vaxxas","USA","Oct","2020","Early Stage Biotech","COVID-19, Needle-Free HD-MAP™ Vaccine Patch Technology, HD-MAP technology platform","http://www.vaxxas.com/","$22 Million","Grant Funding","BARDA, US Govt."
"Walden Biosciences","USA","Oct","2020","Early Stage Biotech","kidney disease, soluble urokinase plasminogen activating receptor (suPAR), podocytes, or kidney cells, dynamin","https://www.waldenbiosciences.com/","$51 Million","Series A","Arch and UCB Ventures"
"Federation Bio","USA","Oct","2020","Early Stage Biotech","microbial treatments, genetically modifying bacteria, secondary hyperoxaluria, kidney stones","https://www.federation.bio/","$50 Million","Series A","Horizon, Seventure Partners/Health for Life Capital, Stanford, Altitude and Venrock"
"Phenomic AI ","Canada","Oct","2020","Healthcare Analytics","AI/ML Platform, Tumor stroma","http://www.phenomic.ai/","$6 Million","Series A","CTI Life Sciences Fund and joined by AV8 Ventures, Luminous Ventures, and Viva BioInnovator. Current investors, Garage Capital, Hike Ventures, and Cantos Ventures"
"Capillary Biomedical ","USA","Oct","2020","Medical Devices","insulin infusion, extended-wear SteadiFlow technology","https://www.capillarybio.com/","$1.5 Million","Grant Funding","Helmsley Charitable Trust"
"TCRyption Inc.","USA","Oct","2020","Early Stage Biotech","T cell therapy, oncology, cancer","https://tiobioventures.com/","$10 Million","Seed","TIO Bioventures"
"Newlight Technologies","USA","Oct","2020","Agri-Biotech","ocean-degradable biopolymer","https://www.newlight.com/","$45 Million","Series F","Valedor Partners, GrayArch Partners"
"Avail Medsystems","USA","Oct","2020","TeleMedicine","Procedural Telemedicine™ Technology, surgical experts, operating toom","https://avail.io/","$100 Million","Series B","D1 Capital, 8VC, Lux Capital, Coatue, Sonder Capital, Playground Global, Baidu Ventures, and Refractor Capital"
"R3 Vascular Inc.","USA","Oct","2020","Medical Devices","peripheral artery diseases (PAD), below-the-knee (BTK) interventional therapies, critical limb ischemia (CLI)","https://www.r3vascular.com/","$17.8 Million","Series A","415 CAPITAL, with participation from HBM-MedFocus LLC and Wexford Capital"
"Wise Therapeutics","USA","Oct","2020","Digital Health","mental health treatments,  Personal Zen, stress and anxiety","https://wisedtx.com/","$525,000 ","Seed","SeedLink SL, Teem Ventures"
"A2 Biotherapeutics","USA","Oct","2020","Early Stage Biotech","oncology, cancer, Tumor Cell Therapeutics, Tmod (T-cell module) platform","https://www.a2bio.com/","$71.5 Million","Series B","The Column Group, Vida Ventures, Samsara BioCapital, Nextech Invest, Casdin Capital, Euclidean Capital, UC Investments (Office of the Chief Investment Officer of the Regents) and Hartford HealthCare Endowment"
"Neocis","USA","Oct","2020","Medical Devices","Yomi, Robotic-Assisted Surgical System, dental surgery,  haptic robotic guidance, dental implantation","https://www.neocis.com/","$72 Million","Series D","DFJ Growth, with participation from Vivo Capital and existing investors Mithril Capital Management, Norwest Venture Partners, Section 32, and Fred Moll"
"MyBiotics Pharma Ltd.","Israel","Oct","2020","Early Stage Biotech","microbiome therapeutics, nicrobes, probiotics","https://mybiotics-pharma.com/","€2 Million ($2.3 Million)","Grant Funding","EU Horizon 2020 Fund"
"Araris Biotech","Switzerland","Oct","2020","Early Stage Biotech","antibody-drug conjugate (ADC)-linker technology, Araris ADC-linker platform","https://www.ararisbiotech.com/","CHF 12.7 Million","Seed","PureosBioventures, 4BIO Capital, btov Partners, Redalpine, VI Partners and Schroder Adveq"
"Scorpion Therapeutics","USA","Oct","2020","Early Stage Biotech","oncology,cancer, precision medicine, drug hunting engine, cancer genomics","https://www.scorpiontx.com/","$108 Million","Series A","Atlas Venture, Omega Funds, and Vida Ventures, with participation from Abingworth and Partners HealthCare Innovation. "
"Neuromod Devices","Ireland","Oct","2020","Medical Devices","Tinnitus Treatment Device, Lenire","https://www.neuromoddevices.com/","€10.5 Million","Series B","Fountain Healthcare Partners, Moffett Investment Holdings and Medical Device Resources, Kreos Capital and Silicon Valley Bank"
"Sirnaomics","USA","Oct","2020","Early Stage Biotech","RNAi therapeutics, oncology, cancer,  STP705 in squamous cell carcinoma in situ (isSCC), liver cancer","https://sirnaomics.com/","$105 Million","Series D","Rotating Boulder Fund, new investor Walvax Biotechnology Co. Ltd. and Sunshine Riverhead Capital"
"Lumos diagnostics","Australia","Oct","2020","Medical Diagnostics","COVID-19, FebriDx®, diagnostics,fingerstick blood test,  bacterial acute respiratory infections (ARI), COV-ID tests","https://lumosdiagnostics.com/","AU$ 25 Million","Series B","Perennial Value and Ellerston Capital"
"Be Biopharma","USA","Oct","2020","Early Stage Biotech","B-cell therapies, auto immune, cancer","https://www.be.bio/","$52 Million","Series A","Atlas Venture and RA Capital Management and joined by Alta Partners, Longwood Fund and Takeda Ventures, Inc."
"InCarda Therapeutics","USA","Oct","2020","Early Stage Biotech","paroxysmal atrial fibrillation (PAF), cardio vascular","https://incardatherapeutics.com/","$30 Million","Series C","Innoviva, Inc. ,Deerfield Management, HealthCap and Morningside Ventures."
"Allonnia","USA","Oct","2020","Agri-Biotech","Waste Remediation, Synthetic Biology","https://www.allonnia.com/","$40 Million","Series A","Ginkgo Bioworks, Battelle, General Atlantic, Cascade Investment, and Viking Global Investors"
"Erbi Biosystems","USA","Oct","2020","BioSystems"," platform of microfluidic bioprocess and bioreactor equipment, ultra-high cell density","https://erbi-bio.com/","$3.8 Million","Series A","Jaguar Biotech"
"Longboard Pharmaceuticals","USA","Oct","2020","Early Stage Biotech","CNS, neurology","https://www.longboardpharma.com/","$56 Million","Series A","Farallon Capital Management, LLC, and other top tier healthcare investors, including Cormorant Asset Management, HBM Healthcare Investments, Highside Capital Management, and T. Rowe Price Associates"
"LianBio","China","Oct","2020","Early Stage Biotech","oncology, cancer, cardiorenal","https://www.lianbio.com/","$310 Million","Series B","Perceptive Advisors, RA Capital, Venrock Healthcare Capital Partners and CMG-SDIC Capital"
